week rat diet weight
0 r1 d1 252
1 r1 d1 332
2 r1 d1 399
3 r1 d1 487
4 r1 d1 554
5 r1 d1 625
6 r1 d1 695
7 r1 d1 766
8 r1 d1 855
9 r1 d1 907
0 r7 d1 252
1 r7 d1 309
2 r7 d1 370
3 r7 d1 402
4 r7 d1 451
5 r7 d1 510
6 r7 d1 556
7 r7 d1 623
8 r7 d1 669
9 r7 d1 719
0 r8 d1 245
1 r8 d1 293
2 r8 d1 358
3 r8 d1 386
4 r8 d1 444
5 r8 d1 498
6 r8 d1 556
7 r8 d1 586
8 r8 d1 632
9 r8 d1 689
0 r9 d1 242
1 r9 d1 319
2 r9 d1 374
3 r9 d1 433
4 r9 d1 491
5 r9 d1 551
6 r9 d1 627
7 r9 d1 668
8 r9 d1 738
9 r9 d1 804
0 r10 d1 273
1 r10 d1 261
2 r10 d1 266
3 r10 d1 280
4 r10 d1 281
5 r10 d1 304
6 r10 d1 305
7 r10 d1 311
8 r10 d1 315
9 r10 d1 320
0 r11 d1 262
1 r11 d1 301
2 r11 d1 371
3 r11 d1 436
4 r11 d1 506
5 r11 d1 547
6 r11 d1 605
7 r11 d1 672
8 r11 d1 727
9 r11 d1 803
0 r12 d1 265
1 r12 d1 301
2 r12 d1 337
3 r12 d1 374
4 r12 d1 428
5 r12 d1 446
6 r12 d1 494
7 r12 d1 538
8 r12 d1 585
9 r12 d1 605
0 r13 d2 252
1 r13 d2 309
2 r13 d2 353
3 r13 d2 419
4 r13 d2 463
5 r13 d2 511
6 r13 d2 557
7 r13 d2 606
8 r13 d2 672
9 r13 d2 701
0 r14 d2 250
1 r14 d2 302
2 r14 d2 357
3 r14 d2 385
4 r14 d2 429
5 r14 d2 483
6 r14 d2 524
7 r14 d2 587
8 r14 d2 627
9 r14 d2 672
0 r2 d2 240
1 r2 d2 283
2 r2 d2 343
3 r2 d2 366
4 r2 d2 420
5 r2 d2 469
6 r2 d2 522
7 r2 d2 547
8 r2 d2 589
9 r2 d2 640
0 r3 d2 238
1 r3 d2 271
2 r3 d2 282
3 r3 d2 297
4 r3 d2 311
5 r3 d2 327
6 r3 d2 359
7 r3 d2 355
8 r3 d2 382
9 r3 d2 404
0 r4 d2 260
1 r4 d2 270
2 r4 d2 296
3 r4 d2 332
4 r4 d2 355
5 r4 d2 399
6 r4 d2 422
7 r4 d2 449
8 r4 d2 475
9 r4 d2 502
0 r5 d2 255
1 r5 d2 269
2 r5 d2 314
3 r5 d2 353
4 r5 d2 397
5 r5 d2 413
6 r5 d2 445
7 r5 d2 487
8 r5 d2 516
9 r5 d2 566
0 r6 d2 246
1 r6 d2 299
2 r6 d2 351
3 r6 d2 404
4 r6 d2 474
5 r6 d2 508
6 r6 d2 572
7 r6 d2 632
8 r6 d2 696
9 r6 d2 731
